"DTI_CL_INDICADOR","Indicator","DTI_CL_TRIMESTRE_MOVIL","Mobile Quarter","DTI_CL_REGION","Region","DTI_CL_SEXO","Sex","Value","Flag Codes","Flags"
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL15","Region of Arica y Parinacota","M","Male",49.0699362806399,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL15","Region of Arica y Parinacota","F","Female",37.79539925486,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL01","Region of Tarapacá","_T","Total",154.541672074199,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL01","Region of Tarapacá","M","Male",93.9067311275999,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL01","Region of Tarapacá","F","Female",60.6349409466001,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL02","Region of Antofagasta","_T","Total",273.143071548399,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL02","Region of Antofagasta","M","Male",176.96607121255,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL02","Region of Antofagasta","F","Female",96.1770003358501,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL03","Region of Atacama","_T","Total",125.95018297042,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL03","Region of Atacama","M","Male",82.2713356027897,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL03","Region of Atacama","F","Female",43.67884736763,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL04","Region of Coquimbo","_T","Total",306.391499211901,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL04","Region of Coquimbo","M","Male",191.46961955443,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL04","Region of Coquimbo","F","Female",114.92187965747,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL05","Region of Valparaíso","_T","Total",794.07583742352,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL05","Region of Valparaíso","M","Male",479.710076076369,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL05","Region of Valparaíso","F","Female",314.365761347151,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL13","Region Metropolitana de Santiago","_T","Total",3251.66897421007,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL13","Region Metropolitana de Santiago","M","Male",1894.93100099077,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL13","Region Metropolitana de Santiago","F","Female",1356.73797321931,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL06","Region of Libertador Gral. Bernardo O'Higgins","_T","Total",373.220508493331,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL06","Region of Libertador Gral. Bernardo O'Higgins","M","Male",242.94953444674,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL06","Region of Libertador Gral. Bernardo O'Higgins","F","Female",130.27097404659,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL07","Region of Maule","_T","Total",398.305459861698,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL07","Region of Maule","M","Male",260.1566156917,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL07","Region of Maule","F","Female",138.14884417,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL16","Region of Ñuble","_T","Total",187.42452867632,,
"ENE_FDT","Labour force (2002-based projections)","2010-V05","2010 apr-jun","CHL16","Region of Ñuble","M","Male",117.55507738504,,
