"DTI_CL_INDICADOR","Indicator","DTI_CL_TRIMESTRE_MOVIL","Mobile trimester","DTI_CL_REGION","Region","DTI_CL_SEXO","Sex","Value","Flag Codes","Flags"
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL02","Region of Antofagasta","M","Male",71.2322500299532,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL02","Region of Antofagasta","F","Female",37.6054817263065,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL03","Region of Atacama","_T","Total",52.7217948955961,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL03","Region of Atacama","M","Male",69.1125208777156,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL03","Region of Atacama","F","Female",35.5974712876799,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL04","Region of Coquimbo","_T","Total",50.2975066961238,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL04","Region of Coquimbo","M","Male",64.6470508785908,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL04","Region of Coquimbo","F","Female",36.4843892707663,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL05","Region of Valparaíso","_T","Total",50.1245573625906,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL05","Region of Valparaíso","M","Male",62.1890683538095,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL05","Region of Valparaíso","F","Female",38.662378963564,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL13","Region Metropolitana de Santiago","_T","Total",53.9653876224457,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL13","Region Metropolitana de Santiago","M","Male",66.0619988627078,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL13","Region Metropolitana de Santiago","F","Female",42.7046327362584,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL06","Region of Libertador Gral. Bernardo O'Higgins","_T","Total",52.420443872895,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL06","Region of Libertador Gral. Bernardo O'Higgins","M","Male",67.7415359392065,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL06","Region of Libertador Gral. Bernardo O'Higgins","F","Female",36.9143658384665,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL07","Region of Maule","_T","Total",50.0778099506448,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL07","Region of Maule","M","Male",65.429960294982,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL07","Region of Maule","F","Female",35.0467043835702,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL16","Region of Ñuble","_T","Total",48.3854858237929,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL16","Region of Ñuble","M","Male",63.0937874457306,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL16","Region of Ñuble","F","Female",34.1852281406901,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL08","Region of Biobío","_T","Total",49.4658693695346,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL08","Region of Biobío","M","Male",64.5634193657469,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL08","Region of Biobío","F","Female",35.0955120449531,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL09","Region of La Araucanía","_T","Total",51.3839202693984,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL09","Region of La Araucanía","M","Male",67.0216628049926,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL09","Region of La Araucanía","F","Female",36.3068446213334,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL14","Region of Los Ríos","_T","Total",48.4318968127771,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL14","Region of Los Ríos","M","Male",61.8720451957859,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL14","Region of Los Ríos","F","Female",35.1956868256438,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL10","Region of Los Lagos","_T","Total",53.4338850668534,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL10","Region of Los Lagos","M","Male",66.902613186808,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL10","Region of Los Lagos","F","Female",39.5618380591204,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","_T","Total",60.6258998500592,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","M","Male",73.2748037807431,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","F","Female",46.159624664991,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL12","Region of Magallanes y La Antártica Chilena","_T","Total",54.1611491420572,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL12","Region of Magallanes y La Antártica Chilena","M","Male",68.2624155042335,,
"ENE_TO","Employment rate (2002-based projections)","2010-V02","2010 jan-mar","CHL12","Region of Magallanes y La Antártica Chilena","F","Female",38.2035525783345,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","_T","Nationwide total","_T","Total",52.7205804700821,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","_T","Nationwide total","M","Male",66.1964457232034,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","_T","Nationwide total","F","Female",39.7273553067509,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL15","Region of Arica y Parinacota","_T","Total",56.8285969381189,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL15","Region of Arica y Parinacota","M","Male",68.8017271969064,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL15","Region of Arica y Parinacota","F","Female",45.8395618058303,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL01","Region of Tarapacá","_T","Total",62.6550987632716,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL01","Region of Tarapacá","M","Male",73.526139332202,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL01","Region of Tarapacá","F","Female",50.7629651677708,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL02","Region of Antofagasta","_T","Total",56.8673724264112,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL02","Region of Antofagasta","M","Male",72.2138930876687,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL02","Region of Antofagasta","F","Female",39.9665994664936,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL03","Region of Atacama","_T","Total",53.4226783718488,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL03","Region of Atacama","M","Male",69.8317210107119,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL03","Region of Atacama","F","Female",36.279002094685,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL04","Region of Coquimbo","_T","Total",49.8973829983918,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL04","Region of Coquimbo","M","Male",65.1499927910455,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL04","Region of Coquimbo","F","Female",35.2145459912056,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL05","Region of Valparaíso","_T","Total",50.6111037490639,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL05","Region of Valparaíso","M","Male",63.255580008449,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL05","Region of Valparaíso","F","Female",38.596693773728,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL13","Region Metropolitana de Santiago","_T","Total",54.9336197070398,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL13","Region Metropolitana de Santiago","M","Male",67.1556757021293,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL13","Region Metropolitana de Santiago","F","Female",43.5552245668949,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL06","Region of Libertador Gral. Bernardo O'Higgins","_T","Total",53.2351125580086,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL06","Region of Libertador Gral. Bernardo O'Higgins","M","Male",68.1866712260249,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL06","Region of Libertador Gral. Bernardo O'Higgins","F","Female",38.1029806842185,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL07","Region of Maule","_T","Total",49.0204268095954,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL07","Region of Maule","M","Male",64.506493059396,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL07","Region of Maule","F","Female",33.8592755354524,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL16","Region of Ñuble","_T","Total",44.6208548661896,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL16","Region of Ñuble","M","Male",57.9645487406306,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL16","Region of Ñuble","F","Female",31.7373586385956,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL08","Region of Biobío","_T","Total",47.6524972597675,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL08","Region of Biobío","M","Male",63.1206462339113,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL08","Region of Biobío","F","Female",32.9296604001332,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL09","Region of La Araucanía","_T","Total",52.2438837566076,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL09","Region of La Araucanía","M","Male",67.2083164280276,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL09","Region of La Araucanía","F","Female",37.8165743747448,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL14","Region of Los Ríos","_T","Total",47.944894205167,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL14","Region of Los Ríos","M","Male",61.4223728562442,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL14","Region of Los Ríos","F","Female",34.6728940291666,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL10","Region of Los Lagos","_T","Total",53.5519906492781,,
"ENE_TO","Employment rate (2002-based projections)","2010-V03","2010 feb-apr","CHL10","Region of Los Lagos","M","Male",66.710911091894,,
